NumIters	Seconds	LearningRate	loss
174420.0	64132.946866	0.001	0.15596
174440.0	64140.445037	0.001	0.837696
174460.0	64147.721258	0.001	0.180113
174480.0	64155.138134	0.001	0.53997
174500.0	64162.626562	0.001	0.591919
174520.0	64170.038938	0.001	0.389981
174540.0	64177.239598	0.001	0.494568
174560.0	64184.605721	0.001	0.439359
174580.0	64191.869094	0.001	0.483679
174600.0	64199.079609	0.001	0.412831
174620.0	64206.284525	0.001	0.390609
174640.0	64213.638761	0.001	0.292242
174660.0	64220.915395	0.001	0.912635
174680.0	64228.113456	0.001	0.737225
174700.0	64235.433463	0.001	0.902418
174720.0	64242.580806	0.001	0.376295
174740.0	64249.927249	0.001	0.114636
174760.0	64257.28655	0.001	0.649564
174780.0	64264.702538	0.001	0.221374
174800.0	64272.035228	0.001	0.133089
174820.0	64279.416924	0.001	0.496491
174840.0	64286.888736	0.001	0.699411
174860.0	64294.365938	0.001	0.393009
174880.0	64301.891779	0.001	0.380616
174900.0	64309.393327	0.001	0.142559
174920.0	64316.981243	0.001	0.542799
174940.0	64324.264564	0.001	0.187193
174960.0	64331.662751	0.001	0.383957
174980.0	64338.850543	0.001	0.584924
175000.0	64346.19013	0.001	0.198874
175020.0	64353.630666	0.001	0.561361
175040.0	64360.898347	0.001	0.23076
175060.0	64368.320655	0.001	0.605322
175080.0	64375.555527	0.001	0.357597
175100.0	64383.020548	0.001	0.335259
175120.0	64390.37201	0.001	0.350377
175140.0	64397.871364	0.001	0.399842
175160.0	64405.278441	0.001	0.146065
175180.0	64412.461517	0.001	0.34591
175200.0	64419.707878	0.001	0.81241
175220.0	64427.086431	0.001	0.572565
175240.0	64434.451524	0.001	0.507194
175260.0	64441.826519	0.001	0.305315
175280.0	64449.31506	0.001	0.124383
175300.0	64456.592051	0.001	0.449604
175320.0	64464.005098	0.001	0.146617
175340.0	64471.334025	0.001	0.0994938
175360.0	64478.829586	0.001	0.408168
175380.0	64486.157115	0.001	0.649053
